Ano;Modelo;Preco;vendas;ratio_HP_Peso;Gasolina;S_EI;S_HPP
2010;NEW KA 3P 1.0 FLEX;24880;86967;0.074786325;0;54.35716716;0.799362587
2010;NEW KA 3P 1.6 FLEX;31750;1264;0.105371901;0;54.35716716;0.768777011
2010;FUSION G2 4P 3.0 V6;99900;2638;0.156774194;1;52.84131196;0.717374718
2010;FUSION G2 4P SEL NEW 2.3 I4;84900;7767;0.113531353;1;52.84131196;0.760617558
2010;AGILE 5P LT FLEX OBDBR2 1.4 (obdbr + econo)***;37708;23416;0.093992248;0;176.5102292;2.560688294
2010;AGILE 5P LTZ FLEX OBDBR2 1.4 ( + econo)***;39601;42013;0.093992248;0;176.5102292;2.560688294
2010;ASTRA HATCH 5P ADVANTAGE FLEXPOWER 2.0 (odbdr+ nlev)***;44611;32394;0.112711864;0;176.7042041;2.541968678
2010;ASTRA SEDAN 4P ADVANTAGE FLEXPOWER 2.0 8V (nlev+ taxi)***;47742;4884;0.111764706;0;176.731008;2.542915837
2010;CELTA 3P LIFE FLEXPOWER 1.0;25213;47323;0.089534884;0;177.5039238;2.565145659
2010;CELTA 3P SPIRIT FLEXPOWER 1.0;26613;14309;0.089534884;0;177.5039238;2.565145659
2010;CELTA 5P LIFE FLEXPOWER 1.0;26711;25925;0.089534884;0;177.5039238;2.565145659
2010;CELTA 5P SPIRIT FLEXPOWER 1.0;28392;62665;0.086516854;0;177.5039238;2.568163689
2010;CLASSIC SEDAN 4P LIFE FLEXPOWER 1.0 16V;25607;115080;0.084782609;0;177.6483345;2.569897934
2010;CORSA HATCH NEW 5P MAXX FLEXPOWER 1.4;32018;30970;0.096491228;0;177.2254812;2.558189314
2010;CORSA SEDAN NEW 4P PREMIUM FLEXPOWER 1.4;36636;20154;0.092264678;0;177.2336816;2.562415864
2010;MERIVA 5P EXPRESSION FLEXPOWER 1.8 8V (sohc + nlev)***;46292;2581;0.089243028;0;175.8616703;2.565437515
2010;MERIVA 5P JOY ECONO.FLEX 1.4 ( + nlev)***;43914;6899;0.080816327;0;175.8616703;2.573864216
2010;MERIVA 5P MAXX ECONO.FLEX 1.4 ( + nlev)***;45830;10481;0.080816327;0;175.8616703;2.573864216
2010;MERIVA 5P PREMIUM FLEXPOWER NLEV 1.8 MPFI;48653;5365;0.089243028;0;176.0888865;2.565437515
2010;PRISMA 4P JOY FLEXPOWER 1.0;27852;10399;0.083604777;0;177.2175383;2.571075765
2010;PRISMA 4P JOY FLEXPOWER 1.4 (+ nlev)***;30925;9249;0.103148751;0;177.2175383;2.551531791
2010;PRISMA 4P MAXX  FLEXPOWER 1.0;28966;14768;0.083604777;0;177.2175383;2.571075765
2010;PRISMA 4P MAXX  FLEXPOWER 1.4;32985;33888;0.103148751;0;177.2175383;2.551531791
2010;VECTRA HATCH 5P GT-X FLEXPOWER 2.0;64134;2521;0.108748978;0;176.3838166;2.545931565
2010;VECTRA HATCH 5P GT FLEXPOWER 2.0;53175;9321;0.108748978;0;176.3838166;2.545931565
2010;VECTRA SEDAN 4P NEW ELEGANCE FLEXPOWER 2.0;60718;11634;0.10390625;0;176.3710186;2.550774292
2010;VECTRA SEDAN 4P NEW ELITE FLEXPOWER 2.0;70664;2931;0.094326241;0;176.3710186;2.560354301
2010;VECTRA SEDAN 4P NEW EXPRESSION FLEXPOWER 2.0;54098;6763;0.105555556;0;176.3710186;2.549124987
2010;ZAFIRA 5P COMFORT FLEXPOWER 2.0 MPFI  8V;58601;2438;0.094661922;0;175.1534955;2.560018621
2010;ZAFIRA 5P ELEGANCE FLEXPOWER 2.0;67747;1766;0.094661922;0;175.1534955;2.560018621
2010;ZAFIRA 5P ELITE FLEXPOWER 2.0 MPFI  8V;73050;1812;0.094661922;0;175.1534955;2.560018621
2010;ZAFIRA 5P EXPRESSION FLEXPOWER 2.0;62747;2600;0.094661922;0;175.1534955;2.560018621
2010;CITY 4P EX 1.5 16V;61650;11112;0.102022867;0;59.38935;0.931631229
2010;CITY 4P EXL 1.5 16V;65375;2140;0.101754386;0;59.38935;0.93189971
2010;CITY 4P LX 1.5 16V;56210;18779;0.103386809;0;59.38935;0.930267287
2010;CIVIC (8� GERA플O) 4P EXS 1.8i VTEC;83810;1148;0.108490566;0;58.9272;0.92516353
2010;CIVIC (8� GERA플O) 4P LXL 1.8i VTEC;67840;28064;0.113177041;0;58.9272;0.920477055
2010;CIVIC (8� GERA플O) 4P LXS 1.8i VTEC;64356;10664;0.111560226;0;58.9272;0.92209387
2010;FIT (2� GERA플O) 5P EX 1.5 16V;58280;7976;0.104261106;0;59.2817175;0.92939299
2010;FIT (2� GERA플O) 5P EXL 1.5 16V;62005;1810;0.104072398;0;59.2817175;0.929581698
2010;FIT (2� GERA플O) 5P LX 1.4 16V;51845;21792;0.092592593;0;59.2817175;0.941061504
2010;FIT (2� GERA플O) 5P LXL 1.4 16V;54635;8743;0.092336103;0;59.2817175;0.941317993
2010;AZERA 4P 3.3 V6 AUTOM햀ICO 3.3;79900;8655;0.149390244;1;13.9231;0.22515528
2010;I 30 4P AUTOM햀ICO 2.0;67900;28475;0.11257764;1;14.686753;0.261967884
2010;I 30 4P MEC헞ICO 2.0;54000;9766;0.11257764;1;14.686753;0.261967884
2010;GRAND LIVINA 4P S/SL FLEX 1.8 16V;61190;2108;0.096674401;0;34.7714538;0.488983516
2010;LIVINA 4P S/SL FLEX 1.6 16V;51690;3871;0.088060965;0;34.8373638;0.497596951
2010;LIVINA 4P S/SL FLEX 1.8 16V;56890;3323;0.104777871;0;34.8373638;0.480880046
2010;LIVINA X-GEAR 4P S/SL 1.6 16V;51700;1224;0.088060965;0;34.8373638;0.497596951
2010;SENTRA 4P S/SE 2.0 16V;60090;4960;0.107843137;0;34.469045;0.477814779
2010;TIIDA 4P S/SL 1.8 16V;57290;4949;0.100240577;0;34.9271288;0.485417339
2010;207 HATCH 3P XR FLEX 1.4;34990;2548;0.077444337;0;74.43457932;1.015666109
2010;207 HATCH 5P X-LINE FLEX 1.4;31600;3530;0.076555024;0;74.43457932;1.016555422
2010;207 HATCH 5P XR FLEX 1.4;36790;14534;0.076555024;0;74.43457932;1.016555422
2010;207 HATCH 5P XR SPORT FLEX 1.4;38900;11614;0.076555024;0;74.43457932;1.016555422
2010;207 HATCH 5P XS FLEX 1.6;42500;4447;0.100640439;0;74.43457932;0.992470007
2010;207 SEDAN 4P PASSION XR FLEX 1.4;38490;8907;0.07400555;0;74.43050195;1.019104896
2010;207 SEDAN 4P PASSION XR SPORT FLEX 1.4;40290;9002;0.07400555;0;74.43050195;1.019104896
2010;207 SEDAN 4P PASSION XS FLEX 1.6;43800;5310;0.099547511;0;74.43050195;0.993562935
2010;207 SW 5P ESCAPADE FLEX 1.6;48100;1792;0.095818815;0;74.27963937;0.997291631
2010;207 SW 5P XR SPORT FLEX 1.4;43300;2316;0.071877808;0;74.27963937;1.021232638
2010;307 HATCH 5P PRESENCE FLEX 1.6 16V  (+ pack)***;49900;8286;0.084485407;0;73.34560208;1.008625039
2010;307 SEDAN 4P PRESENCE PACK FLEX 2.0 16V;53900;2829;0.104915627;0;73.29807037;0.988194819
2010;307 SEDAN 4P PRESENCE PACK FLEX 1.6 16V;49900;1882;0.080704329;0;73.29807037;1.012406117
2010;CLIO HATCH FIV 3P AUTHENTIQUE HI-FLEX 1.0 16V;25390;10314;0.087861272;0;87.20062978;1.135782257
2010;CLIO HATCH FIV 5P AUTHENTIQUE HI-FLEX 1.0 16V;26790;16321;0.087861272;0;87.20062978;1.135782257
2010;LOGAN 4P AUTHENTIQUE HI-FLEX 1.0 16V;28480;8470;0.074146341;0;85.92186752;1.149497188
